ticker,market,currency,rank,source,updated_at,name,trades,last_price,variation
B3SA3,B3,BRL,1,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,B3,63506400,15.89,"-4,96%"
CSAN3,B3,BRL,2,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Cosan,46880300,4.13,"-6,35%"
ITUB4,B3,BRL,3,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Itaú Unibanco,41150400,38.78,"-2,12%"
PETR4,B3,BRL,4,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Petrobras,40943000,46.09,"-0,75%"
BBDC4,B3,BRL,5,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Banco Bradesco,37267200,17.39,"-1,53%"
BBAS3,B3,BRL,6,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Banco do Brasil,36742400,20.23,"-0,93%"
ITSA4,B3,BRL,7,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Itaúsa,35294800,12.66,"-1,40%"
CPLE3,B3,BRL,8,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Copel,31755900,14.7,"-1,01%"
ENEV3,B3,BRL,9,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Eneva,29535100,24.21,"-3,12%"
ABEV3,B3,BRL,10,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Ambev,25814600,15.81,"+0,00%"
CMIG4,B3,BRL,11,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Cemig,24763300,11.31,"-1,65%"
COGN3,B3,BRL,12,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Cogna,23710700,2.46,"-1,60%"
VALE3,B3,BRL,13,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Vale,20334400,81.02,"-0,99%"
MGLU3,B3,BRL,14,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Magazine Luiza,18272100,6.49,"-1,82%"
NATU3,B3,BRL,15,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,NATURA,17965600,9.74,"-0,10%"
PETR3,B3,BRL,16,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Petrobras,17051600,51.67,"-0,23%"
USIM5,B3,BRL,17,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Usiminas,16915700,9.13,"+1,11%"
BEEF3,B3,BRL,18,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Minerva,16047100,4.22,"-2,99%"
RADL3,B3,BRL,19,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,RaiaDrogasil,14481000,18.53,"-3,09%"
BHIA3,B3,BRL,20,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Casas Bahia,14454300,1.26,"-15,44%"
RAIZ4,B3,BRL,21,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Raízen,14271700,0.4,"-6,98%"
ASAI3,B3,BRL,22,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Assaí,13055200,8.16,"-1,57%"
CSNA3,B3,BRL,23,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Siderúrgica Nacional,12762200,5.9,"-4,07%"
CMIN3,B3,BRL,24,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,CSN Mineração,12721000,4.08,"-4,67%"
SBSP3,B3,BRL,25,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Sabesp,12289200,28.54,"-2,13%"
ANIM3,B3,BRL,26,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Ânima Educação,11754400,3.11,"-4,31%"
MOTV3,B3,BRL,27,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Motiva,11658800,14.68,"-0,41%"
RAIL3,B3,BRL,28,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Rumo,10598800,14.61,"-1,95%"
BPAC11,B3,BRL,29,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Banco BTG Pactual,10589600,53.07,"-2,05%"
LREN3,B3,BRL,30,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Lojas Renner,10397200,13.64,"-0,94%"
BRAV3,B3,BRL,31,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,3R Petroleum,10216800,18.76,"-2,14%"
TOTS3,B3,BRL,32,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Totvs,10043300,30.64,"-2,61%"
AXIA3,B3,BRL,33,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Axia Energia,9672400,53.82,"-0,90%"
HAPV3,B3,BRL,34,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Hapvida,9144300,12.71,"-0,94%"
VAMO3,B3,BRL,35,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Grupo Vamos,9052500,3.24,"-2,99%"
EQTL3,B3,BRL,36,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Equatorial Energia,8716400,37.82,"-2,05%"
MBRF3,B3,BRL,37,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Marfrig,8510100,16.5,"-1,84%"
UGPA3,B3,BRL,38,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Ultrapar,8415500,28.37,"-3,11%"
VBBR3,B3,BRL,39,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Vibra Energia,8042400,32.67,"-1,77%"
KLBN4,B3,BRL,40,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Klabin,7953400,3.24,"-1,22%"
JHSF3,B3,BRL,41,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,JHSF,7888500,10.17,"-3,51%"
GMAT3,B3,BRL,42,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Grupo Mateus,7732100,4.13,"-2,36%"
EMBJ3,B3,BRL,43,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Embraer,7603900,68.64,"-2,64%"
MRVE3,B3,BRL,44,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,MRV,7464500,6.11,"-0,49%"
RDOR3,B3,BRL,45,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Rede D'Or,7320300,34.1,"-1,93%"
GOAU4,B3,BRL,46,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Metalúrgica Gerdau,7296800,10.02,"-1,28%"
GRND3,B3,BRL,47,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Grendene,6926500,3.9,"-3,47%"
WEGE3,B3,BRL,48,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,WEG,6814600,41.82,"-1,23%"
ECOR3,B3,BRL,49,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,EcoRodovias,6645700,7.58,"+0,80%"
MOVI3,B3,BRL,50,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Movida,6453400,8.97,"-6,07%"
CVCB3,B3,BRL,51,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,CVC,6297300,1.78,"-1,66%"
RENT3,B3,BRL,52,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Localiza,6064700,42.09,"-2,05%"
PRIO3,B3,BRL,53,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,PetroRio,6013800,69.32,"+0,73%"
GGBR4,B3,BRL,54,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Gerdau,5951300,23.02,"-1,03%"
MULT3,B3,BRL,55,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Multiplan,5742000,29.12,"-2,12%"
BBDC3,B3,BRL,56,https://www.dadosdemercado.com.br/acoes,2026-05-19 22:55:19,Banco Bradesco,5740800,15.13,"-1,37%"
